"","age","sex","pclass","embarked","survived","predictedRF"
"1211",40,"male",3,"S",0,"0"
"1216",29.881,"male",3,"Q",0,"0"
"1217",29.881,"female",3,"Q",1,"1"
"1220",29.881,"male",3,"S",0,"0"
"1223",33,"male",3,"C",0,"0"
"1228",22,"female",3,"S",0,"0"
"1229",31,"male",3,"S",1,"0"
"1232",29,"female",3,"S",0,"0"
"1235",25,"male",3,"S",0,"0"
"1240",34,"male",3,"S",0,"0"
"1241",0.4167,"male",3,"C",1,"1"
"1244",29.881,"male",3,"C",0,"0"
"1247",29.881,"male",3,"S",0,"0"
"1252",30.5,"male",3,"S",0,"0"
"1253",44,"male",3,"S",0,"0"
"1256",29.881,"male",3,"C",0,"0"
"1259",29,"female",3,"C",1,"1"
"1264",11.5,"male",3,"S",0,"0"
"1265",40.5,"male",3,"S",0,"0"
"1268",30,"female",3,"S",0,"0"
"1271",28,"male",3,"S",0,"0"
"1276",16,"male",3,"S",0,"0"
"1277",31,"female",3,"S",0,"0"
"1280",14,"female",3,"S",0,"0"
"1283",29.881,"male",3,"S",0,"0"
"1288",51,"male",3,"S",0,"0"
"1289",18,"male",3,"S",0,"0"
"1292",29.881,"male",3,"S",0,"0"
"1295",28.5,"male",3,"S",0,"0"
"1300",27,"male",3,"C",0,"0"
"1301",15,"female",3,"C",1,"1"
"1304",29.881,"male",3,"C",0,"0"
"1307",26.5,"male",3,"C",0,"0"
